,cell_name,cell_num,cluster,electrical_length_lamda,length_um,part_name,person
0,Hipp1,0,cluster2,0.485617954474503,222.779203218182,basal_terminals,P1
1,Hipp1,0,cluster2,0.321089152347305,150.522473509173,basal_terminals,P1
2,Hipp1,0,cluster2,0.690500854290918,287.121769543769,basal_terminals,P1
3,Hipp1,0,cluster2,0.624008788505159,295.231985094498,basal_terminals,P1
4,Hipp1,0,cluster2,0.529359790229211,245.949980488418,basal_terminals,P1
5,Hipp1,0,cluster2,0.640096823769011,287.662438854395,basal_terminals,P1
6,Hipp1,0,cluster2,0.644938701198465,262.87551289267,basal_terminals,P1
7,Hipp1,0,cluster2,0.852457003456412,299.224207313575,basal_terminals,P1
8,Hipp1,0,cluster2,0.570912779995759,266.632600358801,basal_terminals,P1
9,Hipp1,0,cluster2,0.632864986103383,297.196519474001,basal_terminals,P1
10,Hipp1,0,cluster2,0.393234323099489,197.184683081054,basal_terminals,P1
11,Hipp1,0,cluster2,0.561534110726255,235.66552044388,basal_terminals,P1
12,Hipp1,0,cluster2,0.478594569066017,207.232259379772,basal_terminals,P1
13,Hipp1,0,cluster2,0.734470415763198,317.729215641612,basal_terminals,P1
14,Hipp1,0,cluster2,0.713902709999519,317.764542099823,basal_terminals,P1
15,Hipp1,0,cluster2,0.763149279385458,337.118942773767,basal_terminals,P1
16,Hipp1,0,cluster2,0.420968390324934,209.748329247224,basal_terminals,P1
17,Hipp1,0,cluster2,0.431914117841511,213.805834547025,basal_terminals,P1
18,Hipp1,0,cluster2,0.625473684916611,302.921145110741,basal_terminals,P1
19,Hipp1,0,cluster2,0.259140113553879,148.35656497945,basal_terminals,P1
20,Hipp1,0,cluster2,0.30124016788418,162.60617078128,basal_terminals,P1
21,Hipp1,0,cluster2,0.500091002871146,214.754184543944,basal_terminals,P1
22,Hipp1,0,cluster2,0.670028430387854,262.386138276614,basal_terminals,P1
23,Hipp1,0,cluster2,0.497448910798638,203.261797248048,basal_terminals,P1
24,Hipp1,0,cluster2,0.600817423238495,275.902930767133,basal_terminals,P1
25,Hipp1,0,cluster2,0.573485828510942,267.619803512423,basal_terminals,P1
26,Hipp1,0,cluster2,0.317753143819749,140.873197448022,basal_terminals,P1
27,Hipp1,0,cluster2,0.202956525834452,98.3281471994463,basal_terminals,P1
28,Hipp1,0,cluster2,0.210620916752303,107.772182234108,basal_terminals,P1
29,Hipp1,0,cluster2,0.721628982608287,282.889743456464,basal_terminals,P1
30,Hipp1,0,cluster2,0.840087416346933,323.427438810008,basal_terminals,P1
31,Hipp1,0,cluster2,0.827245275881837,319.032703379985,basal_terminals,P1
32,Hipp1,0,cluster2,0.68990180300485,290.105194728645,basal_terminals,P1
33,Hipp1,0,cluster2,0.653320724053051,273.745420438165,basal_terminals,P1
34,Hipp1,0,cluster2,0.67597784670963,297.470069839024,basal_terminals,P1
35,Hipp1,0,cluster2,0.284195192643071,145.966774330102,basal_terminals,P1
36,Hipp1,0,cluster2,0.160529422927424,96.6628280524919,basal_terminals,P1
37,Hipp1,0,cluster2,0.207186411507399,117.924555410096,basal_terminals,P1
38,Hipp1,0,cluster2,0.800397570905478,340.287718526035,basal_terminals,P1
39,Hipp1,0,cluster2,0.229871429087665,122.386998747547,basal_terminals,P1
40,Hipp1,0,cluster2,0.70758516082696,302.599632698559,basal_terminals,P1
41,Hipp1,0,cluster2,0.711354382960614,298.336634565846,basal_terminals,P1
42,Hipp1,0,cluster2,0.474325952835106,197.313315279127,basal_terminals,P1
43,Hipp1,0,cluster2,0.706673992707571,310.413855736818,basal_terminals,P1
44,Hipp1,0,cluster2,0.551230090140729,234.251422660272,basal_terminals,P1
45,Hipp1,0,cluster2,0.136980996605464,88.3090769691667,basal_terminals,P1
46,Hipp1,0,cluster2,0.353949648449685,170.727632314697,basal_terminals,P1
47,Hipp1,0,cluster2,0.251836450292307,127.495455524653,basal_terminals,P1
48,Hipp1,0,cluster2,0.46656546768772,194.534697264571,basal_terminals,P1
49,Hipp1,0,cluster2,0.51708590879182,223.940696459155,basal_terminals,P1
50,Hipp1,0,cluster2,0.223285662618826,136.750502567354,obliqe_terminals,P1
51,Hipp1,0,cluster2,0.224294220958556,137.281467982654,obliqe_terminals,P1
52,Hipp1,0,cluster2,0.214500756549584,129.051093598992,obliqe_terminals,P1
53,Hipp1,0,cluster2,0.614786314357732,274.877269535748,obliqe_terminals,P1
54,Hipp1,0,cluster2,0.557840698767611,251.118348439079,obliqe_terminals,P1
55,Hipp1,0,cluster2,0.913083222929395,365.466162684934,obliqe_terminals,P1
56,Hipp1,0,cluster2,0.4453607875397,249.068115958454,obliqe_terminals,P1
57,Hipp1,0,cluster2,0.249512918834036,144.142250378946,obliqe_terminals,P1
58,Hipp1,0,cluster2,0.739040620535268,311.456767406794,obliqe_terminals,P1
59,Hipp1,0,cluster2,0.677326932525832,290.671483081828,obliqe_terminals,P1
60,Hipp1,0,cluster2,0.590423095850925,257.63428275579,obliqe_terminals,P1
61,Hipp1,0,cluster2,0.595408383346493,272.566628482637,obliqe_terminals,P1
62,Hipp1,0,cluster2,0.605081434999361,281.969143038065,obliqe_terminals,P1
63,Hipp1,0,cluster2,0.738579440765551,330.526192345076,obliqe_terminals,P1
64,Hipp1,0,cluster2,0.574488032024889,256.511869963853,obliqe_terminals,P1
65,Hipp1,0,cluster2,0.623357638574341,267.302890870601,obliqe_terminals,P1
66,Hipp1,0,cluster2,0.47162491929103,277.667536421924,obliqe_terminals,P1
67,Hipp1,0,cluster2,0.439556325627633,260.450426811392,obliqe_terminals,P1
