,cell_name,cell_num,cluster,electrical_length_lamda,length_um,part_name,person
0,Hipp7,9.0,cluster1,0.5124566413120053,345.4777641645725,basal_terminals,P6
1,Hipp7,9.0,cluster1,0.31135203041237747,220.83223928391592,basal_terminals,P6
2,Hipp7,9.0,cluster1,0.482672189279113,305.08855450843873,basal_terminals,P6
3,Hipp7,9.0,cluster1,0.4197564627807568,279.32918097467643,basal_terminals,P6
4,Hipp7,9.0,cluster1,0.059350592945302684,66.16214754392274,basal_terminals,P6
5,Hipp7,9.0,cluster1,0.2767119233245959,185.58230747262618,basal_terminals,P6
6,Hipp7,9.0,cluster1,0.47224566381860195,287.4637583573825,basal_terminals,P6
7,Hipp7,9.0,cluster1,0.3589467818175613,230.01708012024974,basal_terminals,P6
8,Hipp7,9.0,cluster1,0.4371089184992979,288.81759003778234,basal_terminals,P6
9,Hipp7,9.0,cluster1,0.1866398168099094,150.09397249467781,basal_terminals,P6
10,Hipp7,9.0,cluster1,0.4881709974168694,272.59600335411767,basal_terminals,P6
11,Hipp7,9.0,cluster1,0.18586547321404837,124.8591186104964,basal_terminals,P6
12,Hipp7,9.0,cluster1,0.3421765079287873,212.64459033393135,basal_terminals,P6
13,Hipp7,9.0,cluster1,0.4244570169860444,265.45163933537384,basal_terminals,P6
14,Hipp7,9.0,cluster1,0.3256028937355939,223.16272734973577,basal_terminals,P6
15,Hipp7,9.0,cluster1,0.14106358055276302,93.93975672546829,basal_terminals,P6
16,Hipp7,9.0,cluster1,0.11037326328148415,93.01662858624636,basal_terminals,P6
17,Hipp7,9.0,cluster1,0.4173128773726188,256.0820936968857,basal_terminals,P6
18,Hipp7,9.0,cluster1,0.07572845098879413,72.80084259479005,basal_terminals,P6
19,Hipp7,9.0,cluster1,0.149781721381856,100.01995063419372,basal_terminals,P6
20,Hipp7,9.0,cluster1,0.04697079926969049,55.408741268436046,basal_terminals,P6
21,Hipp7,9.0,cluster1,0.05514952943275547,57.47221085016444,basal_terminals,P6
22,Hipp7,9.0,cluster1,0.050964210201991295,55.730809554307015,basal_terminals,P6
23,Hipp7,9.0,cluster1,0.4219514716867123,260.09511508225467,basal_terminals,P6
24,Hipp7,9.0,cluster1,0.33643584304024077,205.8273647251117,basal_terminals,P6
25,Hipp7,9.0,cluster1,0.04123901839460748,58.668743437555996,basal_terminals,P6
26,Hipp7,9.0,cluster1,0.0681596487752682,78.29274824453475,basal_terminals,P6
27,Hipp7,9.0,cluster1,0.048567860763482,65.17348270844491,basal_terminals,P6
28,Hipp7,9.0,cluster1,0.3062895639422656,209.40900228135177,basal_terminals,P6
29,Hipp7,9.0,cluster1,0.32824147201110104,225.12597082197146,basal_terminals,P6
30,Hipp7,9.0,cluster1,0.2484055819982564,189.7122489877909,basal_terminals,P6
31,Hipp7,9.0,cluster1,0.4941540369125596,297.5296588109349,basal_terminals,P6
32,Hipp7,9.0,cluster1,0.46913385088107923,302.37324256398034,basal_terminals,P6
33,Hipp7,9.0,cluster1,0.1717846889230185,150.5211406426339,basal_terminals,P6
34,Hipp7,9.0,cluster1,0.2577173551432489,213.09554823951157,basal_terminals,P6
35,Hipp7,9.0,cluster1,0.28920107279981383,244.60444078730956,obliqe_terminals,P6
36,Hipp7,9.0,cluster1,0.45282922445242074,278.7883673624881,obliqe_terminals,P6
37,Hipp7,9.0,cluster1,0.43185240863648516,279.17675477833666,obliqe_terminals,P6
38,Hipp7,9.0,cluster1,0.38147034052085604,263.66065377542003,obliqe_terminals,P6
39,Hipp7,9.0,cluster1,0.4221086137863677,243.89018335814552,obliqe_terminals,P6
40,Hipp7,9.0,cluster1,0.460323593347537,279.1365753111539,obliqe_terminals,P6
41,Hipp7,9.0,cluster1,0.20952927127163315,184.33198557151093,obliqe_terminals,P6
42,Hipp7,9.0,cluster1,0.1008814060845336,105.45360817146964,obliqe_terminals,P6
43,Hipp7,9.0,cluster1,0.09356092022811506,100.30082273026721,obliqe_terminals,P6
44,Hipp7,9.0,cluster1,0.10844132170327783,114.05226530408571,obliqe_terminals,P6
45,Hipp7,9.0,cluster1,0.5802858410467606,539.4219972570387,obliqe_terminals,P6
46,Hipp7,9.0,cluster1,0.43535828873067417,386.5184095368048,obliqe_terminals,P6
47,Hipp7,9.0,cluster1,0.46296564926600325,396.4256547226279,obliqe_terminals,P6
48,Hipp7,9.0,cluster1,0.406961529001491,331.23626410007023,obliqe_terminals,P6
49,Hipp7,9.0,cluster1,0.14142486206667493,172.65757259046055,obliqe_terminals,P6
50,Hipp7,9.0,cluster1,0.5279383313745999,386.7682511524074,obliqe_terminals,P6
51,Hipp7,9.0,cluster1,0.4633577000018931,350.48435138714814,obliqe_terminals,P6
52,Hipp7,9.0,cluster1,0.36864993880552555,297.9129192613104,obliqe_terminals,P6
53,Hipp7,9.0,cluster1,0.44912908277902497,372.78303192468553,obliqe_terminals,P6
54,Hipp7,9.0,cluster1,0.41462937334618666,378.7803935353893,obliqe_terminals,P6
55,Hipp7,9.0,cluster1,0.3599381153507914,305.417232824931,obliqe_terminals,P6
56,Hipp7,9.0,cluster1,0.3841005468328823,300.68560391918413,obliqe_terminals,P6
57,Hipp7,9.0,cluster1,0.5788988803358524,550.2798646965728,obliqe_terminals,P6
58,Hipp7,9.0,cluster1,0.3115999407993026,321.12988643593394,obliqe_terminals,P6
59,Hipp7,9.0,cluster1,0.38831424888566307,344.71393942762535,obliqe_terminals,P6
60,Hipp7,9.0,cluster1,0.36710624024049326,316.18677546647393,obliqe_terminals,P6
