,cell_name,cell_num,cluster,electrical_length_lamda,length_um,part_name,person
0,Hipp1,17.0,cluster3,0.8821940469825765,239.24808171725599,basal_terminals,P9
1,Hipp1,17.0,cluster3,1.1666386110030533,306.9736844466637,basal_terminals,P9
2,Hipp1,17.0,cluster3,1.3385543167913667,299.5422411391617,basal_terminals,P9
3,Hipp1,17.0,cluster3,0.8063683595456436,193.619610508628,basal_terminals,P9
4,Hipp1,17.0,cluster3,0.30123960759596896,115.69666649230105,basal_terminals,P9
5,Hipp1,17.0,cluster3,1.0492255606659875,288.69098741965956,basal_terminals,P9
6,Hipp1,17.0,cluster3,0.6240428164934785,157.4466427044122,basal_terminals,P9
7,Hipp1,17.0,cluster3,0.5181583240689838,136.2476087331175,basal_terminals,P9
8,Hipp1,17.0,cluster3,1.1597083147646086,264.34795367362904,basal_terminals,P9
9,Hipp1,17.0,cluster3,1.1493421818888645,306.45405608358175,basal_terminals,P9
10,Hipp1,17.0,cluster3,1.3913536812252594,309.56372557964,basal_terminals,P9
11,Hipp1,17.0,cluster3,0.2131054859548026,77.17157142380988,basal_terminals,P9
12,Hipp1,17.0,cluster3,0.2447524261034031,83.54647105111975,basal_terminals,P9
13,Hipp1,17.0,cluster3,0.15805972649988587,71.28812561157264,basal_terminals,P9
14,Hipp1,17.0,cluster3,0.2606914771124713,101.90799421808752,basal_terminals,P9
15,Hipp1,17.0,cluster3,0.8493634057641535,246.33716017047985,basal_terminals,P9
16,Hipp1,17.0,cluster3,1.0927497943487239,305.3003208557408,basal_terminals,P9
17,Hipp1,17.0,cluster3,0.23887372402462898,82.33998450564931,basal_terminals,P9
18,Hipp1,17.0,cluster3,0.6602550580901543,166.98120729732477,basal_terminals,P9
19,Hipp1,17.0,cluster3,0.8495605678590621,245.16340023855128,basal_terminals,P9
20,Hipp1,17.0,cluster3,1.105852583806521,304.15619035149905,basal_terminals,P9
21,Hipp1,17.0,cluster3,1.1155164690537362,303.0576751102607,basal_terminals,P9
22,Hipp1,17.0,cluster3,0.3588322274643451,116.96365554535036,basal_terminals,P9
23,Hipp1,17.0,cluster3,0.9454309546820815,234.47717028809745,basal_terminals,P9
24,Hipp1,17.0,cluster3,0.8689480085699343,236.1030141859983,basal_terminals,P9
25,Hipp1,17.0,cluster3,0.8982818337627076,235.10002008730538,basal_terminals,P9
26,Hipp1,17.0,cluster3,0.08947524183055582,53.41552610530046,basal_terminals,P9
27,Hipp1,17.0,cluster3,0.9001093807859932,213.24452177416873,basal_terminals,P9
28,Hipp1,17.0,cluster3,0.7885818809808671,217.47639452515648,basal_terminals,P9
29,Hipp1,17.0,cluster3,1.1426877275537197,553.1182484626909,obliqe_terminals,P9
30,Hipp1,17.0,cluster3,0.9930939776756812,477.0133635546902,obliqe_terminals,P9
31,Hipp1,17.0,cluster3,1.0497264430986493,501.9532477471887,obliqe_terminals,P9
32,Hipp1,17.0,cluster3,0.9319834892463105,467.1567099148708,obliqe_terminals,P9
33,Hipp1,17.0,cluster3,1.12552659277221,579.0884271405519,obliqe_terminals,P9
34,Hipp1,17.0,cluster3,1.0990145399665652,517.150140608852,obliqe_terminals,P9
35,Hipp1,17.0,cluster3,1.0955856569436315,505.06041014436863,obliqe_terminals,P9
36,Hipp1,17.0,cluster3,0.9924203024252513,478.1636960158843,obliqe_terminals,P9
37,Hipp1,17.0,cluster3,1.033140168946678,480.06403025840604,obliqe_terminals,P9
38,Hipp1,17.0,cluster3,0.8606897038284553,429.7533444820645,obliqe_terminals,P9
39,Hipp1,17.0,cluster3,1.04470375566884,459.7443909284925,obliqe_terminals,P9
40,Hipp1,17.0,cluster3,0.9555543383818688,449.4061707869291,obliqe_terminals,P9
41,Hipp1,17.0,cluster3,0.8852910587190583,389.87507336244823,obliqe_terminals,P9
42,Hipp1,17.0,cluster3,0.8034447552423071,378.07723256925414,obliqe_terminals,P9
43,Hipp1,17.0,cluster3,1.05348218077845,437.88719788762415,obliqe_terminals,P9
44,Hipp1,17.0,cluster3,0.7601053389054387,355.4376700985453,obliqe_terminals,P9
45,Hipp1,17.0,cluster3,0.9171140385886082,379.0917845840128,obliqe_terminals,P9
46,Hipp1,17.0,cluster3,1.087621778397585,451.30471045683095,obliqe_terminals,P9
47,Hipp1,17.0,cluster3,0.7079411982196081,326.4289287381454,obliqe_terminals,P9
48,Hipp1,17.0,cluster3,0.48101828787262313,263.3945913880903,obliqe_terminals,P9
49,Hipp1,17.0,cluster3,0.7929902633270134,290.77703696195545,obliqe_terminals,P9
50,Hipp1,17.0,cluster3,0.5454275331604694,260.14214867150156,obliqe_terminals,P9
51,Hipp1,17.0,cluster3,0.38349207974890837,211.42237870457993,obliqe_terminals,P9
52,Hipp1,17.0,cluster3,0.77746624693307,319.4631963716721,obliqe_terminals,P9
53,Hipp1,17.0,cluster3,1.1450520424832777,329.6576037559527,obliqe_terminals,P9
54,Hipp1,17.0,cluster3,1.182826666479938,337.0404146179674,obliqe_terminals,P9
55,Hipp1,17.0,cluster3,1.0429155593777393,345.8565815836691,obliqe_terminals,P9
56,Hipp1,17.0,cluster3,0.7385069725995168,251.72651871371482,obliqe_terminals,P9
57,Hipp1,17.0,cluster3,0.24389962108849075,155.4355934566584,obliqe_terminals,P9
58,Hipp1,17.0,cluster3,0.7937100699282192,294.4127153821479,obliqe_terminals,P9
59,Hipp1,17.0,cluster3,0.8975300917726999,330.52221485567577,obliqe_terminals,P9
60,Hipp1,17.0,cluster3,0.4553292863402601,210.27324182766918,obliqe_terminals,P9
